Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
74;Rahim Bonkano;ne NIG;DF;Oviedo;24-010;2002;18;14;1,324;14.7;0;0;0;0;0;0;1;0;0.0;0.0;0.8;0.8;29;43;76;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.00;0.05;Matches
75;Thiago Borbas;uy URU;FW;Oviedo;23-279;2002;1;0;15;0.2;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
76;Lucas Boyé;ar ARG;FW,MF;Alavés;29-317;1996;13;10;956;10.6;4;0;4;3;1;1;2;1;3.2;2.4;1.0;3.4;10;27;49;0.38;0.00;0.38;0.28;0.28;0.30;0.10;0.40;0.23;0.32;Matches
77;Enzo Boyomo;cm CMR;DF;Osasuna;24-096;2001;16;16;1,414;15.7;1;0;1;1;0;0;4;0;0.3;0.3;0.8;1.1;9;46;10;0.06;0.00;0.06;0.06;0.06;0.02;0.05;0.07;0.02;0.07;Matches
78;Josip Brekalo;hr CRO;FW;Oviedo;27-202;1998;13;6;477;5.3;0;0;0;0;0;0;1;0;0.3;0.3;1.7;1.9;17;30;39;0.00;0.00;0.00;0.00;0.00;0.05;0.32;0.36;0.05;0.36;Matches
79;Abel Bretones;es ESP;DF,MF;Osasuna;25-143;2000;16;15;1,35;15.0;1;0;1;1;0;0;5;1;0.6;0.6;0.4;1.0;22;32;41;0.07;0.00;0.07;0.07;0.07;0.04;0.03;0.07;0.04;0.07;Matches
80;Brugui;es ESP;MF,FW;Levante;29-068;1996;15;10;896;10.0;0;1;1;0;0;0;1;0;1.9;1.8;0.5;2.3;11;14;47;0.00;0.10;0.10;0.00;0.10;0.19;0.05;0.24;0.18;0.23;Matches
81;Tajon Buchanan;ca CAN;MF,DF;Villarreal;26-337;1999;17;11;1,053;11.7;5;0;5;5;0;0;5;0;1.2;1.2;1.3;2.5;34;27;82;0.43;0.00;0.43;0.43;0.43;0.10;0.11;0.21;0.10;0.21;Matches
82;Ante Budimir;hr CRO;FW;Osasuna;34-173;1991;18;16;1,389;15.4;6;0;6;3;3;4;0;0;7.6;4.5;0.5;5.0;9;13;51;0.39;0.00;0.39;0.19;0.19;0.49;0.03;0.53;0.29;0.32;Matches
83;Manu Bueno;es ESP;MF;Sevilla;21-168;2004;3;0;63;0.7;0;0;0;0;0;0;0;0;0.0;0.0;0.2;0.2;2;3;1;0.00;0.00;0.00;0.00;0.00;0.05;0.25;0.30;0.05;0.30;Matches
84;Jorge Cabello;es ESP;DF;Levante;21-261;2004;5;4;362;4.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;7;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
85;Leandro Cabrera;uy URU;DF;Espanyol;34-208;1991;17;17;1,53;17.0;2;0;2;2;0;0;1;0;1.4;1.4;0.6;2.0;1;47;5;0.12;0.00;0.12;0.12;0.12;0.08;0.03;0.12;0.08;0.12;Matches
